timestamp,value1,value2,value3,value4,value5,value6,
1744682941050.00,337,995,727,71,464,1631,272
1744682941050.00,301,996,739,85,476,1633,279
1744682941067.00,358,1001,748,99,492,1623,293
1744682941082.00,374,1001,759,112,497,1621,305
1744682941082.00,387,1002,770,123,502,1615,314
1744682941082.00,403,998,780,130,509,1604,305
1744682941082.00,414,994,786,142,510,1595,320
1744682941099.00,415,991,791,145,510,1586,309
1744682941133.00,417,987,797,147,505,1579,320
1744682941133.00,424,987,801,152,502,1570,315
1744682941134.00,427,980,807,161,505,1569,310
1744682941134.00,432,975,807,161,510,1566,304
1744682941150.00,439,973,811,169,511,1567,314
1744682941150.00,448,973,816,173,527,1566,326
1744682941168.00,454,974,817,176,529,1566,325
1744682941187.00,458,971,819,176,533,1566,317
1744682941190.00,464,970,821,176,542,1569,324
1744682941203.00,464,967,828,178,549,1563,335
1744682941203.00,469,965,832,185,555,1558,323
1744682941203.00,476,960,836,189,560,1554,334
1744682941219.00,481,960,841,198,563,1535,347
1744682941239.00,492,955,847,205,570,1535,337
1744682941239.00,496,951,848,206,575,1535,353
1744682941253.00,499,947,851,208,572,1533,365
1744682941270.00,502,941,852,217,574,1529,355
1744682941306.00,507,931,855,215,576,1525,368
1744682941306.00,505,929,855,218,576,1522,362
1744682941319.00,511,925,861,221,576,1520,337
1744682941319.00,511,925,862,217,577,1520,353
1744682941319.00,511,925,859,222,576,1519,348
1744682941338.00,511,915,857,217,579,1520,343
1744682941352.00,511,914,861,218,577,1519,349
1744682941352.00,511,912,859,219,576,1519,342
1744682941369.00,511,912,863,215,576,1520,353
1744682941369.00,511,912,861,214,577,1520,348
1744682941403.00,510,912,858,212,578,1520,336
1744682941437.00,508,912,859,211,579,1521,342
1744682941454.00,503,911,858,210,576,1522,333
1744682941470.00,496,912,854,208,576,1522,320
1744682941488.00,490,910,848,207,575,1524,320
1744682941547.00,482,908,848,207,571,1525,308
1744682941561.00,467,908,847,201,570,1527,297
1744682941561.00,455,908,846,197,567,1530,295
1744682941575.00,455,910,838,192,560,1533,292
1744682941575.00,449,910,835,188,560,1534,283
1744682941575.00,433,909,832,176,555,1535,272
1744682941575.00,426,908,827,171,553,1535,272
1744682941575.00,417,910,823,163,551,1535,268
1744682941575.00,406,912,819,160,545,1535,250
1744682941595.00,400,912,816,153,542,1535,247
1744682941595.00,388,912,812,147,535,1535,240
1744682941595.00,383,912,809,144,535,1554,226
1744682941595.00,371,914,799,135,528,1559,217
1744682941595.00,363,915,794,125,526,1556,208
1744682941595.00,358,916,786,123,522,1562,207
1744682941612.00,352,912,784,118,511,1567,205
1744682941612.00,348,912,783,111,511,1567,202
1744682941644.00,343,912,779,108,511,1567,194
1744682941678.00,337,913,777,106,507,1569,192
1744682941678.00,326,912,773,93,498,1570,192
1744682941678.00,315,912,770,94,496,1570,185
1744682941678.00,315,911,769,92,495,1574,188
1744682941695.00,310,911,766,94,495,1574,183
1744682941695.00,315,912,768,91,493,1577,178
1744682941711.00,315,912,768,96,493,1578,182
1744682941711.00,318,912,768,97,491,1579,178
1744682941731.00,314,914,768,98,483,1581,178
1744682941744.00,309,913,767,96,481,1582,176
1744682941761.00,314,913,768,99,482,1582,179
1744682941777.00,315,913,767,101,488,1584,187
1744682941777.00,316,912,764,102,483,1584,186
1744682941794.00,321,914,767,103,486,1584,190
1744682941794.00,329,914,766,108,486,1584,189
1744682941811.00,327,917,767,105,485,1584,191
1744682941829.00,323,915,765,106,486,1585,192
1744682941829.00,320,914,767,102,487,1585,193
1744682941847.00,320,913,763,96,487,1585,194
1744682941847.00,320,917,763,99,489,1586,193
1744682941861.00,319,917,766,96,484,1584,195
1744682941894.00,319,915,762,99,483,1586,201
1744682941894.00,320,915,763,98,482,1585,201
1744682941912.00,312,915,763,103,486,1586,202
1744682941912.00,320,917,765,104,482,1586,204
1744682941912.00,321,918,766,105,478,1586,207
1744682941930.00,325,917,762,108,480,1585,208
1744682941930.00,325,914,764,111,480,1586,208
1744682941945.00,330,919,765,109,480,1586,208
1744682941962.00,331,918,767,111,480,1586,207
1744682941979.00,336,921,768,111,479,1586,208
1744682941994.00,337,918,768,112,482,1587,209
1744682942048.00,342,919,768,113,486,1587,209
1744682942087.00,344,920,769,115,483,1588,208
1744682942108.00,345,923,770,117,485,1589,209
1744682942123.00,349,925,770,119,483,1587,209
1744682942190.00,350,922,773,121,480,1586,215
1744682942217.00,353,925,771,128,482,1587,214
