timestamp,value1,value2,value3,value4,value5,value6
1744681014250,0,0,0,0,0,0,0
1744681014273,0,0,0,0,0,0,0
1744681014273,0,0,0,0,0,0,0
1744681014292,0,0,0,0,0,0,0
1744681014292,0,0,0,0,0,0,0
1744681014292,0,0,0,0,0,0,0
1744681014292,0,0,0,0,0,0,0
1744681014308,0,0,0,0,0,0,0
1744681014326,0,0,0,0,0,0,0
1744681014326,0,0,0,0,0,0,0
1744681014346,0,0,0,0,0,0,0
1744681014347,0,0,0,0,0,0,0
1744681014360,0,0,0,0,0,0,0
1744681014375,0,0,0,0,0,0,0
1744681014392,0,0,0,0,0,0,0
1744681014409,0,0,0,0,0,0,0
1744681014427,0,0,0,0,0,0,0
1744681014427,0,0,0,0,0,0,0
1744681014427,0,0,0,0,0,0,0
1744681014443,0,0,0,0,0,0,0
1744681014460,0,0,0,0,0,0,0
1744681014460,0,0,0,0,0,0,0
1744681014476,0,0,0,0,0,0,0
1744681014529,0,0,0,0,0,0,0
1744681014555,0,0,0,0,0,0,0
1744681014571,0,0,0,0,0,0,0
1744681014572,0,0,0,0,0,0,0
1744681014576,0,0,0,0,0,0,0
1744681014577,0,0,0,0,0,0,0
1744681014592,0,0,0,0,0,0,0
1744681014592,0,0,0,0,0,0,0
1744681014592,0,0,0,0,0,0,0
1744681014592,0,0,0,0,0,0,0
1744681014592,0,0,0,0,0,0,0
1744681014608,0,0,0,0,0,0,0
1744681014627,0,0,0,0,0,0,0
1744681014627,0,0,0,0,0,0,0
1744681014642,0,0,0,0,0,0,0
1744681014658,0,0,0,0,0,0,0
1744681014658,0,0,0,0,0,0,0
1744681014675,0,0,0,0,0,0,0
1744681014693,0,0,0,0,0,0,0
1744681014693,0,0,0,0,0,0,0
1744681014708,0,0,0,0,0,0,0
1744681014725,0,0,0,0,0,0,0
1744681014725,0,0,0,0,0,0,0
1744681014743,0,0,0,0,0,0,0
1744681014757,0,0,0,0,0,0,0
1744681014757,0,0,0,0,0,0,0
1744681014782,0,0,0,0,0,0,0
1744681014791,0,0,0,0,0,0,0
1744681014791,0,0,0,0,0,0,0
1744681014824,0,0,0,0,0,0,0
1744681014824,0,0,0,0,0,0,0
1744681014824,0,0,0,0,0,0,0
1744681014842,0,0,0,0,0,0,0
1744681014843,0,0,0,0,0,0,0
1744681014875,0,0,0,0,0,0,0
1744681014932,0,0,0,0,0,0,0
1744681014949,0,0,0,0,0,0,0
1744681014985,0,0,0,0,0,0,0
1744681014986,0,0,0,0,0,0,0
1744681014986,0,0,0,0,0,0,0
1744681014986,0,0,0,0,0,0,0
1744681014986,0,0,0,0,0,0,0
1744681014988,0,0,0,0,0,0,0
1744681015005,0,0,0,0,0,0,0
1744681015005,0,0,0,0,0,0,0
1744681015005,0,0,0,0,0,0,0
1744681015005,0,0,0,0,0,0,0
1744681015005,0,0,0,0,0,0,0
1744681015023,0,0,0,0,0,0,0
1744681015039,0,0,0,0,0,0,0
1744681015039,0,0,0,0,0,0,0
1744681015056,0,0,0,0,0,0,0
1744681015056,0,0,0,0,0,0,0
1744681015072,0,0,0,0,0,0,0
1744681015078,0,0,0,0,0,0,0
1744681015090,0,0,0,0,0,0,0
1744681015122,0,0,0,0,0,0,0
1744681015122,0,0,0,0,0,0,0
1744681015157,0,0,0,0,0,0,0
1744681015157,0,0,0,0,0,0,0
1744681015157,0,0,0,0,0,0,0
1744681015157,0,0,0,0,0,0,0
1744681015173,0,0,0,0,0,0,0
1744681015173,0,0,0,0,0,0,0
1744681015191,0,0,0,0,0,0,0
1744681015208,0,0,0,0,0,0,0
1744681015222,0,0,0,0,0,0,0
1744681015222,0,0,0,0,0,0,0
1744681015257,0,0,0,0,0,0,0
1744681015273,0,0,0,0,0,0,0
1744681015305,0,0,0,0,0,0,0
1744681015322,0,0,0,0,0,0,0
1744681015322,0,0,0,0,0,0,0
1744681015323,0,0,0,0,0,0,0
1744681015339,0,0,0,0,0,0,0
1744681015339,0,0,0,0,0,0,0
1744681015340,0,0,0,0,0,0,0
1744681015356,0,0,0,0,0,0,0
1744681015356,0,0,0,0,0,0,0
1744681015356,0,0,0,0,0,0,0
1744681015372,0,0,0,0,0,0,0
1744681015372,0,0,0,0,0,0,0
1744681015390,0,0,0,0,0,0,0
1744681015405,0,0,0,0,0,0,0
1744681015406,0,0,0,0,0,0,0
1744681015424,0,0,0,0,0,0,0
1744681015440,0,0,0,0,0,0,0
1744681015446,0,0,0,0,0,0,0
1744681015457,0,0,0,0,0,0,0
1744681015473,0,0,0,0,0,0,0
1744681015473,0,0,0,0,0,0,0
1744681015490,0,0,0,0,0,0,0
1744681015508,0,0,0,0,0,0,0
1744681015508,0,0,0,0,0,0,0
1744681015553,0,0,0,0,0,0,0
1744681015553,0,0,0,0,0,0,0
1744681015556,0,0,0,0,0,0,0
1744681015559,0,0,0,0,0,0,0
1744681015579,0,0,0,0,0,0,0
1744681015579,0,0,0,0,0,0,0
1744681015581,0,0,0,0,0,0,0
1744681015616,0,0,0,0,0,0,0
1744681015652,0,0,0,0,0,0,0
1744681015678,0,0,0,0,0,0,0
1744681015694,0,0,0,0,0,0,0
1744681015738,0,0,0,0,0,0,0
1744681015738,0,0,0,0,0,0,0
1744681015738,0,0,0,0,0,0,0
1744681015738,0,0,0,0,0,0,0
1744681015739,0,0,0,0,0,0,0
1744681015758,0,0,0,0,0,0,0
1744681015758,0,0,0,0,0,0,0
1744681015758,0,0,0,0,0,0,0
1744681015778,0,0,0,0,0,0,0
1744681015778,0,0,0,0,0,0,0
1744681015778,0,0,0,0,0,0,0
1744681015778,0,0,0,0,0,0,0
1744681015779,0,0,0,0,0,0,0
1744681015793,0,0,0,0,0,0,0
1744681015793,0,0,0,0,0,0,0
1744681015825,0,0,0,0,0,0,0
1744681015825,0,0,0,0,0,0,0
1744681015844,0,0,0,0,0,0,0
1744681015844,0,0,0,0,0,0,0
1744681015860,0,0,0,0,0,0,0
1744681015860,0,0,0,0,0,0,0
1744681015875,0,0,0,0,0,0,0
1744681015878,0,0,0,0,0,0,0
1744681015909,0,0,0,0,0,0,0
1744681015909,0,0,0,0,0,0,0
1744681015914,0,0,0,0,0,0,0
1744681015934,0,0,0,0,0,0,0
