timestamp,value1,value2,value3,value4,value5
1744680974114,156157,231,273,129,325
1744680974114,,231,274,128,324
1744680974114,157,233,276,129,326
1744680974115,158,230,273,130,324
1744680974134,155,229,275,131,322
1744680974134,156,230,274,128,325
1744680974134,158,229,275,129,323
1744680974134,158,231,276,128,323
1744680974152,155,233,274,130,323
1744680974152,155,230,274,129,325
1744680974166,157,229,273,128,324
1744680974166,157,230,275,128,322
1744680974184,155,230,276,130,325
1744680974201,158,230,275,128,323
1744680974201,157,230,273,128,325
1744680974216,158,230,273,128,323
1744680974233,156,230,274,129,323
1744680974285,155,229,275,129,323
1744680974304,157,235,277,129,323
1744680974325,157,230,274,130,323
1744680974325,156,230,273,129,325
1744680974325,155,230,275,128,326
1744680974325,156,230,272,131,324
1744680974325,155,229,273,128,325
1744680974325,157,231,274,129,324
1744680974325,158,230,274,129,322
1744680974325,158,231,274,129,321
1744680974337,157,231,275,128,323
1744680974337,157,231,273,130,323
1744680974359,155,230,276,129,323
1744680974359,156,232,274,128,325
1744680974380,155,230,274,128,325
1744680974380,157,229,274,128,325
1744680974388,156,229,273,129,323
1744680974405,158,231,274,130,322
1744680974410,156,232,274,130,324
1744680974429,157,229,275,129,324
1744680974429,157,229,274,129,322
1744680974437,157,230,273,129,323
1744680974455,156,228,273,129,322
1744680974460,154,230,272,128,323
1744680974471,157,230,273,129,321
1744680974488,155,230,273,128,323
1744680974488,154,229,273,129,322
1744680974506,158,231,273,130,325
1744680974506,155,229,273,130,323
1744680974523,157,229,275,129,323
1744680974539,156,230,272,129,322
1744680974539,157,229,273,128,325
1744680974556,155,228,272,129,324
1744680974557,155,230,275,128,321
1744680974570,156,230,273,128,323
1744680974605,157,231,272,128,323
1744680974638,156,230,273,128,325
1744680974656,157,228,275,129,322
1744680974656,158,230,272,128,323
1744680974656,157,230,274,129,323
1744680974656,155,230,273,129,320
1744680974656,156,229,273,128,323
1744680974661,157,230,273,129,324
1744680974661,157,231,274,130,323
1744680974674,155,229,273,129,323
1744680974688,156,229,272,129,324
1744680974688,156,229,273,128,322
1744680974706,155,229,272,128,323
1744680974706,158,229,273,128,323
1744680974754,155,232,273,129,322
1744680974754,157,230,273,129,321
1744680974754,155,229,273,128,323
1744680974754,157,230,274,131,322
1744680974771,158,230,274,128,322
1744680974771,155,230,272,128,323
1744680974787,158,230,272,129,323
1744680974787,157,231,274,128,323
1744680974805,157,228,272,128,323
1744680974805,157,229,274,128,324
1744680974837,157,228,272,128,323
1744680974854,157,230,272,128,323
1744680974878,157,231,273,129,321
1744680974878,157,229,274,129,323
1744680974896,158,230,274,129,325
1744680974896,156,229,274,128,322
1744680974896,157,229,274,127,323
1744680974896,158,231,273,129,322
1744680974896,155,230,272,129,322
1744680974915,155,231,274,130,324
1744680974933,155,229,274,129,324
1744680974933,156,230,274,130,323
1744680974950,158,226,272,128,323
1744680974982,157,230,273,129,323
1744680974999,157,229,272,128,324
1744680975032,157,232,273,128,323
1744680975032,156,229,273,129,322
1744680975032,158,231,275,129,323
1744680975032,157,230,274,129,324
1744680975049,157,231,273,128,325
1744680975049,156,231,273,128,323
1744680975049,158,228,273,128,321
1744680975049,155,229,276,129,322
1744680975050,157,229,273,128,322
1744680975066,157,230,273,129,320
1744680975066,158,229,273,128,324
1744680975084,158,230,274,128,323
1744680975100,157,230,275,130,321
1744680975100,156,229,272,128,323
1744680975115,157,230,272,128,323
1744680975116,155,228,274,128,321
1744680975133,158,229,273,128,323
1744680975150,157,228,274,129,322
1744680975150,155,229,273,130,323
1744680975165,158,230,273,128,323
1744680975165,155,229,273,129,323
1744680975182,158,229,274,128,323
1744680975199,155,231,272,128,323
1744680975199,155,227,273,128,322
1744680975215,156,230,273,130,323
1744680975216,157,230,274,128,325
