timestamp,value1,value2,value3,value4,value5
1744682944825,176,256,302,149,352
1744682944862,176,255,304,150,355
1744682944913,176,254,303,153,355
1744682944971,176176,254,304,154,354
1744682944971,,256,304,151,355
1744682944971,176,254,304,151,354
1744682944971,176,253,304,151,354
1744682944971,176,256,302,151,354
1744682944992,176,254,303,150,354
1744682944992,176,254,301,153,354
1744682944992,176,256,304,153,355
1744682945005,176,254,303,149,354
1744682945005,176,256,302,151,354
1744682945024,176,254,304,150,354
1744682945024,176,256,301,151,353
1744682945024,177,255,302,150,355
1744682945026,176,254,301,151,353
1744682945039,176,255,303,151,354
1744682945039,176,256,304,150,354
1744682945045,176,256,304,150,355
1744682945070,176,255,304,151,353
1744682945075,176,256,304,150,355
1744682945075,176,255,303,150,353
1744682945075,176,256,304,152,354
1744682945075,176,256,304,155,357
1744682945108,176,256,304,154,358
1744682945108,176,256,303,151,355
1744682945124,176,256,302,150,358
1744682945124,176,253,302,149,355
1744682945124,177,256,304,149,353
1744682945124,176,255,303,149,353
1744682945124,177,254,303,153,353
1744682945141,176,256,303,151,357
1744682945183,176,256,304,153,355
1744682945183,176,256,303,153,355
1744682945183,176,256,304,152,354
1744682945183,176,256,304,149,357
1744682945203,176,256,304,153,355
1744682945203,177,256,304,154,356
1744682945215,177,256,304,150,353
1744682945215,177,256,303,150,355
1744682945221,176,256,304,153,357
1744682945235,177,257,304,151,357
1744682945235,176,258,304,151,356
1744682945235,177,257,305,155,358
1744682945253,179,256,304,145,359
1744682945260,179,257,306,155,358
1744682945269,179,258,306,156,359
1744682945284,179,261,307,156,361
1744682945284,179,259,306,154,359
1744682945322,179,263,310,156,362
1744682945335,179,262,313,155,365
1744682945337,183,267,319,159,367
1744682945353,183,269,320,159,368
1744682945353,183,271,321,161,368
1744682945353,186,270,320,162,369
1744682945370,182,268,320,161,370
1744682945370,182,270,320,162,369
1744682945370,187,270,320,157,368
1744682945373,184,271,321,161,369
1744682945385,185,269,320,160,368
1744682945385,184,269,320,160,368
1744682945393,186,270,320,162,368
1744682945404,185,271,320,160,368
1744682945441,185,269,320,161,368
1744682945456,186,271,319,161,368
1744682945491,183,272,320,161,369
1744682945491,187,271,321,161,369
1744682945507,186,271,321,162,369
1744682945586,187,270,321,161,368
1744682945586,185,270,320,161,368
1744682945600,186,271,321,161,368
1744682945600,186,271,320,161,368
1744682945601,186,270,318,160,368
1744682945606,183,271,320,162,368
1744682945623,185,271,320,163,368
1744682945623,185,269,320,162,369
1744682945623,186,272,320,160,371
1744682945639,186,272,321,164,372
1744682945639,187,272,321,164,373
1744682945673,187,271,322,165,371
1744682945689,187,272,322,164,371
1744682945689,185,272,321,162,369
1744682945689,183,271,320,161,368
1744682945706,187,271,323,163,372
1744682945706,183,271,320,165,370
1744682945706,188,272,326,166,375
1744682945723,188,272,322,163,370
1744682945723,188,273,325,167,379
1744682945723,191,275,329,170,377
1744682945740,192,279,331,171,377
1744682945740,191,275,331,169,376
1744682945742,192,279,331,171,378
1744682945753,192,278,330,171,378
1744682945753,193,284,336,171,381
1744682945780,192,285,334,173,384
1744682945800,192,283,336,174,383
1744682945818,195,283,336,176,381
1744682945818,195,288,339,176,388
1744682945818,197,288,339,176,386
1744682945818,199,292,342,178,388
1744682945833,198,288,338,176,385
1744682945833,196,288,338,176,385
1744682945849,195,284,337,175,384
1744682945849,197,286,337,176,384
1744682945853,198,286,336,176,384
1744682945853,196,283,336,176,382
1744682945866,195,285,336,176,384
1744682945866,195,285,338,176,385
1744682945883,194,285,336,168,384
1744682945924,193,282,335,176,384
1744682945924,195,281,335,175,383
1744682945939,195,285,336,176,384
1744682945964,194,281,335,174,383
1744682945964,198,283,336,176,385
1744682945978,197,288,336,176,384
1744682945978,195,285,336,180,385
1744682945994,197,286,336,176,384
1744682945994,197,287,336,176,384
1744682945994,199,289,340,179,385
1744682945994,197,288,337,177,384
1744682945994,198,288,339,177,385
1744682946031,201,289,338,169,386
1744682946047,199,288,340,178,384
1744682946065,196,287,338,177,385
1744682946065,197,290,339,177,386
1744682946065,200,291,342,178,387
1744682946065,199,290,341,177,388
1744682946081,198,288,339,179,386
1744682946081,201,287,341,176,385
1744682946081,195,286,337,176,386
1744682946098,195,285,337,176,385
1744682946098,195,283,336,175,383
1744682946098,196,283,336,176,384
1744682946114,195,282,336,176,386
1744682946177,195,284,336,175,384
1744682946232,193,283,336,174,383
1744682946269,194,284,336,176,384
1744682946288,196,286,336,176,385
1744682946302,194,288,337,176,387
1744682946339,194,286,338,175,385
1744682946339,193,286,337,177,384
1744682946405,196,285,336,175,384
1744682946405,194,281,336,174,382
1744682946405,193,282,336,174,384
1744682946422,192,281,335,174,384
1744682946422,192,278,334,173,382
1744682946422,192,282,333,173,383
1744682946437,192,282,336,172,384
1744682946437,192,283,335,174,383
1744682946452,194,282,336,173,383
1744682946452,193,282,335,175,383
1744682946510,192,281,336,175,384
1744682946529,196,282,336,176,382
1744682946529,194,281,336,174,382
1744682946529,195,282,336,175,384
1744682946529,194,282,335,176,383
1744682946529,199,293,346,182,389
1744682946546,199,291,346,181,390
1744682946546,201,295,347,182,393
1744682946562,200,295,349,186,395
1744682946562,202,295,349,183,390
1744682946562,201,295,348,182,391
1744682946571,201,295,349,186,395
1744682946641,202,295,351,183,397
1744682946657,203,300,352,189,398
1744682946659,201,299,352,190,398
1744682946674,207,301,358,190,400
1744682946674,204,298,355,187,400
1744682946690,206,301,353,187,399
1744682946690,206,300,353,185,399
1744682946690,201,294,347,180,394
1744682946707,201,293,347,181,393
1744682946707,198,292,346,179,391
1744682946733,198,291,345,181,391
1744682946740,195,288,342,176,387
1744682946756,194,286,339,180,385
1744682946756,195,288,337,176,384
1744682946756,192,286,336,176,384
1744682946768,192,282,336,176,382
1744682946768,190,277,330,174,375
1744682946768,189,275,331,170,378
1744682946768,187,276,330,170,378
1744682946768,189,272,326,172,377
1744682946787,191,274,325,168,375
1744682946808,188,273,326,170,377
1744682946828,188,274,325,167,377
1744682946842,190,275,326,167,378
1744682946863,191,275,327,169,378
1744682946863,191,278,330,171,380
1744682946879,190,279,329,171,375
1744682946879,190,280,330,171,379
1744682946894,192,277,329,171,382
1744682946894,192,278,331,173,381
1744682946894,192,283,334,175,383
1744682946912,192,282,333,176,382
1744682946912,194,285,335,176,384
