timestamp_ms,sock_reading_1,sock_reading_2,sock_reading_3,sock_reading_4,sock_reading_5,value1,value2,value5,value4,value6,value7,value3
1.74E+12,-2.443883925,-2.495855518,-2.446190773,-2.383764871,-2.009564939,-0.952269192,-1.050727843,-0.730930645,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.458630351,-2.509334996,-2.453540646,-2.406299163,-2.035834904,-0.952269192,-1.049004866,-0.729720388,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.47130261,-2.521485274,-2.460133011,-2.426208174,-2.060563812,-0.952269192,-1.047525899,-0.728632478,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.495695771,-2.545093969,-2.472911837,-2.464698959,-2.10893111,-0.952269192,-1.044952419,-0.726828844,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.513491426,-2.564332695,-2.48317168,-2.494613383,-2.151568495,-0.952269192,-1.043000046,-0.725570398,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.523458263,-2.578210358,-2.490306047,-2.514076128,-2.186425642,-0.952269192,-1.041956118,-0.724904514,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.525128385,-2.586193453,-2.493950388,-2.522116058,-2.211677031,-0.952269192,-1.042679867,-0.724692446,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.518814987,-2.588255539,-2.4940175,-2.51875199,-2.225950514,-0.952269192,-1.046481059,-0.724732735,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.505541758,-2.584875226,-2.490711318,-2.504979972,-2.228568228,-0.952269192,-1.054081694,-0.724852437,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.486898686,-2.576980731,-2.484517414,-2.482662115,-2.21974086,-0.952269192,-1.064554962,-0.724897011,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.464848976,-2.565847824,-2.476170308,-2.454329692,-2.200658948,-0.952269192,-1.075357892,-0.724694658,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.44151658,-2.552966143,-2.466599472,-2.422924431,-2.17344543,-0.952269192,-1.083364337,-0.724056998,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.418982659,-2.539893783,-2.456857722,-2.39150915,-2.140966248,-0.952269192,-1.086131699,-0.722825182,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.399113124,-2.528120077,-2.448037255,-2.362980683,-2.106529618,-0.952269192,-1.083012683,-0.720968924,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.383430581,-2.518951538,-2.441179713,-2.339814599,-2.073527367,-0.952269192,-1.075657364,-0.71868386,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.373034997,-2.513428118,-2.43718716,-2.323864238,-2.045076888,-0.952269192,-1.067184815,-0.716353038,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.368570086,-2.512269356,-2.436740959,-2.316228758,-2.023712042,-0.952269192,-1.060312941,-0.714346714,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.370227604,-2.515845761,-2.440235508,-2.317197849,-2.011154255,-0.952269192,-1.055993687,-0.712825345,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.377779639,-2.524170676,-2.447733585,-2.326274582,-2.008178829,-0.952269192,-1.053567698,-0.711704452,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.390629155,-2.536910369,-2.458949409,-2.342271606,-2.014580189,-0.952269192,-1.051850582,-0.710786899,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.40787089,-2.553412458,-2.473263794,-2.363469084,-2.029233138,-0.952269192,-1.049997718,-0.709946457,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.428357197,-2.572752957,-2.48977268,-2.387815497,-2.05024233,-0.952269192,-1.047697556,-0.709196398,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.450765697,-2.59379978,-2.507365701,-2.413146357,-2.07516567,-0.952269192,-1.044986329,-0.708585652,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.473667223,-2.615286952,-2.524826223,-2.437393798,-2.101288415,-0.952269192,-1.04206615,-0.708082196,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.495593782,-2.635891713,-2.540940104,-2.458763583,-2.12591646,-0.952269192,-1.039201958,-0.707593407,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.515107231,-2.654308323,-2.554599092,-2.475864208,-2.146653689,-0.952269192,-1.036614364,-0.707030237,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.530870127,-2.669316978,-2.564886738,-2.487782361,-2.16163132,-0.952269192,-1.034407423,-0.706289277,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.541720234,-2.679851039,-2.57113936,-2.494107294,-2.169665964,-0.952269192,-1.032613481,-0.70525524,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.546748963,-2.685067541,-2.572980194,-2.494911873,-2.170334997,-0.952269192,-1.031266364,-0.703955841,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.545381354,-2.684423242,-2.570329543,-2.490699904,-2.163969488,-0.952269192,-1.030382313,-0.702716863,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.537451274,-2.677751952,-2.563395978,-2.482328858,-2.151573716,-0.952269192,-1.029927325,-0.702030783,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.523261366,-2.665330655,-2.552653211,-2.47091581,-2.134685365,-0.952269192,-1.029892912,-0.702161313,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.503614173,-2.647915569,-2.538805386,-2.45773284,-2.115192503,-0.952269192,-1.030394132,-0.702874756,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.479800191,-2.6267282,-2.522741579,-2.44409675,-2.095123662,-0.952269192,-1.031609368,-0.70359468,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.453531327,-2.603377637,-2.505479667,-2.431257416,-2.076427684,-0.952269192,-1.03355829,-0.703854139,-0.638847458,-0.731638617,-0.616180742,-0.815272127
1.74E+12,-2.426815185,-2.579718082,-2.488100585,-2.420290277,-2.060761969,-0.952269193,-1.03591928,-0.703686392,-0.638847458,-0.731638617,-0.616180742,-0.815272127
1.74E+12,-2.401775904,-2.55765655,-2.471676073,-2.4120011,-2.049311452,-0.952269192,-1.038079606,-0.703672944,-0.638847458,-0.731638616,-0.616180742,-0.815272127
1.74E+12,-2.380438787,-2.538939898,-2.457195291,-2.406853579,-2.042663754,-0.952269192,-1.03940089,-0.704595762,-0.638847458,-0.731638615,-0.616180742,-0.815272127
1.74E+12,-2.364505932,-2.524958008,-2.445496901,-2.404930521,-2.040764442,-0.952269192,-1.039489964,-0.706919463,-0.638847458,-0.731638615,-0.616180742,-0.815272127
1.74E+12,-2.355155908,-2.516598055,-2.437212831,-2.40593598,-2.042967145,-0.952269193,-1.03829373,-0.710462252,-0.638847458,-0.731638618,-0.616180742,-0.815272127
1.74E+12,-2.35289988,-2.514173142,-2.432727906,-2.409238936,-2.04817598,-0.952269194,-1.036021615,-0.714462796,-0.638847458,-0.731638621,-0.616180742,-0.815272127
1.74E+12,-2.357518837,-2.517430968,-2.432157007,-2.413951126,-2.055056198,-0.952269193,-1.033011971,-0.717981523,-0.638847458,-0.731638617,-0.616180742,-0.815272127
1.74E+12,-2.368093676,-2.525630571,-2.435339309,-2.419025553,-2.062270193,-0.952269189,-1.029621715,-0.7203594,-0.638847458,-0.731638608,-0.616180742,-0.815272127
1.74E+12,-2.383124641,-2.53766342,-2.441848303,-2.423360323,-2.068687433,-0.952269189,-1.026145419,-0.721407463,-0.638847458,-0.731638606,-0.616180742,-0.815272127
1.74E+12,-2.400722113,-2.552191881,-2.451016712,-2.425894707,-2.073522676,-0.952269196,-1.022763244,-0.721262677,-0.638847458,-0.731638624,-0.616180742,-0.815272127
1.74E+12,-2.418839307,-2.56778241,-2.461976444,-2.425688736,-2.076376001,-0.952269204,-1.019551594,-0.720180324,-0.638847458,-0.731638645,-0.616180742,-0.815272127
1.74E+12,-2.435511131,-2.583019348,-2.473714167,-2.421981868,-2.077174819,-0.952269196,-1.016573013,-0.718468603,-0.638847458,-0.731638628,-0.616180742,-0.815272127
1.74E+12,-2.449063254,-2.596593823,-2.48514189,-2.414228871,-2.076043385,-0.952269172,-1.013981292,-0.716462832,-0.638847458,-0.731638566,-0.616180742,-0.815272127
1.74E+12,-2.458261385,-2.607368196,-2.495178741,-2.402112317,-2.073141658,-0.952269164,-1.012045803,-0.714423845,-0.638847458,-0.731638541,-0.616180742,-0.815272127
1.74E+12,-2.462381945,-2.614419229,-2.502835929,-2.385532265,-2.068518783,-0.952269209,-1.011078102,-0.712455564,-0.638847458,-0.731638652,-0.616180742,-0.815272127
